EventId,1stLargest,2ndLargest,3rdLargest,4thLargest
0,29,4,0,0
1,19,18,1,0
2,270,4,2,0
3,30,2,1,1
4,30,2,0,0
5,24,19,2,0
6,69,3,2,1
7,496,2,2,1
8,19,3,0,0
9,17,16,2,1
10,42,1,1,0
11,32,1,1,0
12,35,4,0,0
13,12,5,3,2
14,45,1,1,0
15,30,27,3,1
16,23,2,0,0
17,384,8,5,1
18,128,5,1,1
19,24,2,1,0
20,25,5,1,0
21,34,5,4,2
22,373,4,3,1
23,57,3,3,1
24,69,2,1,1
25,19,14,3,1
26,23,18,5,1
27,20,10,1,0
28,37,1,1,0
29,113,2,2,0
30,44,2,2,0
31,28,2,0,0
32,28,2,0,0
33,12,6,1,0
34,466,4,0,0
35,39,10,3,1
36,29,3,1,0
37,62,1,1,0
38,16,11,0,0
39,20,10,2,1
40,23,1,1,0
41,31,7,2,0
42,27,9,0,0
43,41,5,0,0
44,14,7,0,0
45,96,4,2,0
46,43,3,1,0
47,8,7,5,2
48,44,6,5,0
49,25,5,2,1
50,23,2,1,0
51,19,4,0,0
52,42,3,1,1
53,49,3,2,1
54,41,5,0,0
55,43,6,2,2
56,62,0,0,0
57,19,1,0,0
58,38,7,1,0
59,29,6,1,0
60,6,6,3,2
61,37,2,1,0
62,14,8,4,0
63,11,7,2,2
64,16,8,2,2
65,97,13,10,1
66,63,2,1,1
67,17,9,1,0
68,171,2,2,1
69,34,1,0,0
70,31,2,1,1
71,15,5,4,2
72,23,0,0,0
73,11,7,2,0
74,55,5,0,0
75,32,3,2,0
76,38,6,0,0
77,239,1,1,0
78,28,1,1,0
79,24,2,0,0
80,19,5,1,0
81,26,5,5,1
82,28,4,2,0
83,77,4,4,1
84,11,4,2,0
85,18,12,1,0
86,169,4,1,1
87,61,3,3,1
88,103,3,1,0
89,182,3,0,0
90,136,0,0,0
91,33,7,1,1
92,21,1,0,0
93,29,7,2,1
94,144,3,0,0
95,22,2,1,0
96,24,6,1,0
97,107,2,1,0
98,8,4,2,2
99,28,13,1,1
100,28,2,0,0
101,20,4,0,0
102,42,4,1,0
103,99,2,0,0
104,38,2,1,1
105,47,4,2,0
106,8,4,2,2
107,18,7,7,1
108,93,2,1,1
109,12,1,0,0
110,56,2,1,0
111,52,2,1,0
112,6,6,3,1
113,20,4,1,0
114,97,4,2,1
115,39,2,0,0
116,224,1,0,0
117,296,3,2,1
118,244,0,0,0
119,161,3,0,0
120,14,13,1,1
121,27,3,1,0
122,15,9,3,2
123,45,3,1,1
124,121,1,0,0
125,121,1,1,0
126,39,0,0,0
127,13,6,1,0
128,8,6,3,0
129,12,12,6,5
130,21,10,0,0
131,102,1,0,0
132,22,3,2,0
133,17,9,3,2
134,37,3,1,1
135,37,7,1,0
136,40,6,1,0
137,16,5,1,0
138,2958,2,2,0
139,25,2,1,0
140,27,6,2,1
141,19,1,0,0
142,645,4,2,0
143,93,3,2,1
144,57,4,0,0
145,20,1,1,0
146,11,9,2,0
147,27,4,3,2
148,58,3,2,0
149,60,6,3,1
150,67,4,2,2
151,43,2,1,0
152,29,7,2,1
153,27,1,0,0
154,255,2,1,0
155,47,5,0,0
156,34,5,1,1
157,11,2,1,0
158,25,2,1,0
159,36,1,1,0
160,28,8,1,0
161,82,2,1,0
162,99,2,1,0
163,14,2,1,0
164,40,3,2,0
165,59,6,1,0
166,7,7,0,0
167,192,2,2,0
168,36,4,4,1
169,379,2,2,1
170,13,4,0,0
171,15,3,1,0
172,355,3,1,0
173,17,9,3,0
174,31,7,1,0
175,34,1,1,0
176,91,4,1,0
177,12,8,3,3
178,24,10,1,0
179,73,0,0,0
180,38,1,0,0
181,113,11,5,0
182,11,10,0,0
183,45,5,1,0
184,26,2,0,0
185,90,2,1,0
186,33,1,0,0
187,28,4,1,0
188,184,1,0,0
189,181,2,1,0
190,14,6,1,1
191,153,3,1,0
192,19,5,1,1
193,114,2,1,1
194,133,2,1,1
195,11,10,0,0
196,19,12,0,0
197,31,9,2,0
198,32,1,0,0
199,37,6,0,0
200,63,9,3,1
201,26,3,1,0
202,8,4,0,0
203,38,5,2,0
204,24,12,3,2
205,26,8,1,1
206,80,5,3,0
207,72,4,1,0
208,9,6,1,0
209,290,5,3,2
210,170,4,1,0
211,26,4,2,0
212,28,3,1,1
213,19,16,0,0
214,79,7,2,1
215,275,1,1,0
216,64,1,0,0
217,21,7,0,0
218,39,2,0,0
219,492,3,1,0
220,9,8,0,0
221,23,7,1,1
222,35,9,1,0
223,64,6,2,0
224,296,2,2,1
225,38,9,4,1
226,21,20,2,2
227,50,4,1,1
228,27,6,0,0
229,30,8,2,0
230,201,2,1,1
231,13,10,0,0
232,28,1,0,0
233,28,3,1,0
234,73,4,4,1
235,19,12,1,0
236,37,2,0,0
237,54,3,1,0
238,12,2,0,0
239,29,1,0,0
240,151,2,2,1
241,7,7,0,0
242,25,2,0,0
243,145,3,3,0
244,146,4,4,1
245,12,6,1,1
246,31,12,12,4
247,22,5,3,0
248,13,3,2,0
249,196,2,1,1
250,60,7,3,3
251,22,11,1,0
252,27,2,0,0
253,315,1,0,0
254,44,1,1,0
255,53,1,0,0
256,32,10,0,0
257,17,5,0,0
258,15,2,1,0
259,80,1,1,1
260,38,2,2,0
261,20,3,2,1
262,35,2,2,0
263,18,6,3,1
264,32,1,0,0
265,31,1,0,0
266,271,1,0,0
267,23,12,2,2
268,52,1,1,0
269,8,5,5,2
270,34,7,2,1
271,17,11,1,1
272,24,2,1,0
273,13,7,1,0
274,49,7,0,0
275,40,1,1,0
276,14,12,2,0
277,279,2,1,0
278,23,3,0,0
279,10,7,1,1
280,17,10,3,0
281,15,5,0,0
282,28,2,1,0
283,24,2,1,0
284,17,4,3,0
285,145,2,1,0
286,20,9,1,1
287,17,1,0,0
288,41,11,1,0
289,42,6,1,0
290,11,8,5,4
291,70,2,2,1
292,23,7,2,0
293,120,2,1,0
294,22,3,0,0
295,153,4,2,0
296,21,4,0,0
297,26,1,1,0
298,30,7,2,1
299,29,3,1,0
300,21,2,0,0
301,17,10,1,0
302,11,10,1,0
303,35,12,2,0
304,20,11,1,1
305,23,1,1,1
306,26,2,0,0
307,26,10,1,0
308,91,5,0,0
309,40,3,1,1
310,336,2,1,0
311,29,2,0,0
312,15,6,3,1
313,10,8,1,0
314,19,14,1,0
315,17,3,1,0
316,51,1,1,1
317,38,1,1,1
318,21,14,1,0
319,33,4,1,0
320,37,7,3,1
321,10,8,1,0
322,22,1,1,0
323,20,10,1,1
324,12,1,0,0
325,23,16,2,0
326,136,1,0,0
327,20,14,0,0
328,28,18,2,1
329,47,0,0,0
330,15,4,0,0
331,25,1,0,0
332,27,4,3,3
333,17,15,2,2
334,11,8,2,1
335,24,8,3,0
336,52,6,1,0
337,32,7,2,0
338,17,2,0,0
339,19,16,1,0
340,43,8,1,1
341,38,2,0,0
342,115,4,3,0
343,21,7,2,0
344,25,2,0,0
345,36,4,3,0
346,43,2,1,0
347,55,0,0,0
348,227,5,0,0
349,21,9,2,2
350,269,1,1,0
351,56,1,1,0
352,43,1,1,0
353,24,6,1,0
354,37,6,3,0
355,22,17,1,1
356,44,7,2,0
357,121,3,2,0
358,55,8,4,2
359,21,3,1,0
360,61,5,2,1
361,104,2,0,0
362,21,4,0,0
363,92,0,0,0
364,10,7,0,0
365,27,3,1,0
366,29,2,2,1
367,29,13,2,1
368,32,2,1,1
369,11,10,4,2
370,25,1,1,0
371,360,5,2,0
372,48,1,0,0
373,16,3,2,0
374,17,9,0,0
375,10,6,3,1
376,16,0,0,0
377,79,1,1,0
378,14,7,1,0
379,29,8,0,0
380,28,5,1,0
381,51,1,0,0
382,107,4,1,0
383,41,8,0,0
384,12,9,1,0
385,80,1,0,0
386,50,1,0,0
387,28,5,1,1
388,19,13,2,1
389,22,5,0,0
390,35,4,0,0
391,35,5,3,0
392,96,3,1,0
393,37,1,0,0
394,82,1,1,0
395,43,2,0,0
396,20,4,0,0
397,66,1,0,0
398,25,3,2,0
399,48,3,0,0
400,67,4,0,0
401,270,1,0,0
402,40,6,0,0
403,22,9,3,0
404,89,1,0,0
405,38,8,0,0
406,21,6,3,0
