EventId,Detector0,Detector1,Detector2,Detector3
0.0,5.0,31.0,0,0
1.0,22.0,2.0,19.0,0
3.0,2.0,1.0,30.0,1.0
4.0,2.0,0,31.0,0
5.0,3.0,0,27.0,22.0
6.0,3.0,3.0,2.0,72.0
7.0,2.0,1.0,530.0,3.0
8.0,19.0,3.0,0,0
9.0,19.0,19.0,1.0,2.0
10.0,43.0,1.0,3.0,0
11.0,2.0,0,37.0,1.0
13.0,3.0,14.0,2.0,5.0
15.0,31.0,3.0,29.0,1.0
16.0,3.0,26.0,0,0
17.0,10.0,414.0,1.0,5.0
18.0,1.0,1.0,131.0,6.0
19.0,2.0,1.0,24.0,1.0
21.0,4.0,3.0,36.0,5.0
22.0,4.0,1.0,419.0,5.0
23.0,60.0,4.0,4.0,2.0
24.0,2.0,74.0,2.0,1.0
25.0,3.0,1.0,22.0,14.0
26.0,20.0,24.0,5.0,1.0
27.0,11.0,21.0,1.0,0
28.0,1.0,1.0,3.0,40.0
29.0,121.0,2.0,3.0,0
30.0,45.0,3.0,2.0,1.0
31.0,2.0,0,31.0,0
32.0,6.0,33.0,0,0
33.0,1.0,8.0,1.0,13.0
35.0,12.0,40.0,3.0,2.0
36.0,29.0,3.0,1.0,1.0
37.0,1.0,63.0,0,1.0
38.0,12.0,0,17.0,0
39.0,11.0,21.0,2.0,2.0
40.0,2.0,24.0,1.0,0
41.0,34.0,2.0,7.0,0
43.0,6.0,43.0,1.0,0
45.0,98.0,4.0,3.0,0
46.0,3.0,0,51.0,2.0
47.0,5.0,8.0,4.0,9.0
48.0,46.0,5.0,6.0,0
49.0,27.0,1.0,5.0,2.0
50.0,2.0,28.0,3.0,0
51.0,19.0,5.0,0,0
52.0,43.0,3.0,1.0,1.0
53.0,3.0,1.0,54.0,4.0
54.0,44.0,6.0,1.0,0
55.0,7.0,45.0,3.0,2.0
58.0,9.0,1.0,40.0,1.0
59.0,30.0,7.0,1.0,1.0
60.0,7.0,3.0,6.0,2.0
61.0,3.0,40.0,0,2.0
63.0,2.0,2.0,7.0,12.0
64.0,2.0,17.0,3.0,11.0
65.0,10.0,103.0,1.0,14.0
66.0,1.0,2.0,66.0,1.0
67.0,2.0,9.0,0,17.0
68.0,2.0,1.0,178.0,2.0
69.0,1.0,1.0,37.0,0
70.0,34.0,3.0,1.0,2.0
71.0,15.0,6.0,6.0,3.0
73.0,11.0,2.0,9.0,1.0
74.0,5.0,0,63.0,0
75.0,3.0,0,37.0,2.0
77.0,1.0,1.0,254.0,0
79.0,2.0,0,27.0,1.0
80.0,6.0,0,22.0,1.0
81.0,1.0,5.0,5.0,27.0
82.0,29.0,5.0,0,3.0
83.0,5.0,4.0,79.0,1.0
84.0,12.0,2.0,7.0,0
85.0,13.0,18.0,0,1.0
86.0,4.0,174.0,1.0,2.0
87.0,3.0,1.0,65.0,3.0
88.0,2.0,109.0,0,3.0
89.0,196.0,1.0,3.0,0
91.0,10.0,34.0,2.0,2.0
93.0,30.0,9.0,3.0,2.0
94.0,1.0,148.0,0,5.0
95.0,2.0,25.0,0,1.0
96.0,1.0,25.0,1.0,7.0
97.0,114.0,2.0,2.0,0
98.0,2.0,11.0,3.0,4.0
99.0,1.0,28.0,1.0,13.0
100.0,30.0,2.0,0,0
102.0,4.0,42.0,1.0,0
104.0,39.0,2.0,1.0,1.0
105.0,2.0,7.0,0,50.0
106.0,9.0,2.0,4.0,3.0
107.0,19.0,7.0,7.0,1.0
108.0,99.0,2.0,2.0,3.0
111.0,54.0,2.0,2.0,0
112.0,6.0,3.0,7.0,4.0
113.0,1.0,24.0,0,4.0
114.0,4.0,3.0,100.0,1.0
115.0,45.0,0,2.0,1.0
117.0,312.0,2.0,3.0,1.0
119.0,3.0,167.0,0,1.0
120.0,1.0,15.0,2.0,13.0
121.0,29.0,0,4.0,1.0
122.0,16.0,3.0,10.0,4.0
123.0,3.0,1.0,48.0,2.0
124.0,125.0,1.0,1.0,0
125.0,2.0,125.0,0,1.0
127.0,7.0,1.0,15.0,1.0
128.0,8.0,1.0,7.0,3.0
129.0,12.0,7.0,13.0,5.0
130.0,10.0,0,21.0,1.0
131.0,103.0,1.0,2.0,0
132.0,2.0,23.0,0,3.0
133.0,2.0,3.0,10.0,18.0
134.0,38.0,1.0,3.0,3.0
135.0,7.0,39.0,2.0,0
136.0,1.0,0,43.0,6.0
137.0,1.0,17.0,0,6.0
138.0,3883.0,2.0,3.0,0
